STUDY_ID	SAMPLE_ID	ESR1	ERBB2	PGR	TP53	PIK3CA	GATA3	FOXA1	MLPH
brca_metabric	MB-0000	8.929816863	9.333972426	5.680500785	6.338738946	5.704156759	6.932145792	7.953793655	9.729728231
brca_metabric	MB-0002	10.04705936	9.729605598	7.505424363	6.192507217	5.757726828	11.25119749	11.8439885	12.53657001
brca_metabric	MB-0005	10.04128099	9.72582538	7.376123438	6.404515929	6.751566308	9.2897585	11.69816918	10.30611463
brca_metabric	MB-0006	10.40468546	10.33497858	6.815636973	6.869241182	7.219186915	8.667722845	11.86337882	10.47218135
brca_metabric	MB-0008	11.27658106	9.956267218	7.331222608	6.337951143	5.81781841	9.719781175	11.62500564	12.16196069
brca_metabric	MB-0010	11.23974996	9.739995945	5.954311437	5.419710958	6.123056329	9.787084578	12.14217823	11.43316406
brca_metabric	MB-0014	10.7938316	9.276507279	7.720951712	5.992706124	7.481834596	8.365527213	11.48262737	10.75519919
brca_metabric	MB-0020	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0022	10.4406672	8.613192078	5.592521631	6.165419608	7.593329565	7.872962246	10.67940342	9.945022656
brca_metabric	MB-0025	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0028	12.52103845	10.67826653	5.325553706	6.220372194	6.250678426	10.26005858	12.14837475	10.93600176
brca_metabric	MB-0035	7.536846899	11.51451403	5.587666116	6.411477213	5.988242744	10.21261046	12.80454217	13.47457064
brca_metabric	MB-0036	10.92731302	10.03375297	7.00250181	5.943520218	5.650385585	10.84570928	11.99165488	12.46692842
brca_metabric	MB-0039	11.75226308	9.456711498	6.64832396	5.40531621	7.79161569	9.520893727	11.88335776	11.96118131
brca_metabric	MB-0045	6.367050836	9.618424239	5.828489527	6.328114619	6.005518351	7.360638644	7.912785019	8.870536496
brca_metabric	MB-0046	11.64715963	14.42803919	6.942291627	6.187935746	5.658695709	10.21390894	11.7361546	12.18170868
brca_metabric	MB-0048	8.10195531	12.8479921	6.114007022	6.397984886	7.779823559	7.294770846	10.96397784	9.063061653
brca_metabric	MB-0050	9.492445716	10.39928609	6.66517035	6.84368976	5.617013533	9.396237502	11.18813394	12.24367973
brca_metabric	MB-0053	12.40026753	9.209721881	5.521509781	5.909245388	8.156573321	8.910762206	11.09712861	10.31198442
brca_metabric	MB-0054	10.19447295	9.451855374	6.769441244	5.350891591	7.56427384	7.465015633	10.82265174	8.665370684
brca_metabric	MB-0056	11.56003015	8.674760463	6.336388514	5.845364118	7.234933776	8.838840231	10.90501059	9.829487685
